split,label,group,path
train,0,roboflow:01022021042511402405_ONEU031853:04,data/processed/chars/0/01022021042511402405_ONEU031853_jpg.rf.ea5a8472a14e5f3fcb3c73872f0bb0ce__04.png
train,0,0:legacy_072,data/processed/chars/0/legacy_072_base.png
train,0,0:legacy_072,data/processed/chars/0/legacy_072_blur.png
train,0,0:legacy_072,data/processed/chars/0/legacy_072_dilate.png
train,0,0:legacy_072,data/processed/chars/0/legacy_072_erode.png
train,0,0:legacy_072,data/processed/chars/0/legacy_072_rot+5.png
train,0,0:legacy_072,data/processed/chars/0/legacy_072_rot-5.png
train,0,0:legacy_104,data/processed/chars/0/legacy_104_base.png
train,0,0:legacy_104,data/processed/chars/0/legacy_104_blur.png
train,0,0:legacy_104,data/processed/chars/0/legacy_104_dilate.png
train,0,0:legacy_104,data/processed/chars/0/legacy_104_erode.png
train,0,0:legacy_104,data/processed/chars/0/legacy_104_rot+5.png
train,0,0:legacy_104,data/processed/chars/0/legacy_104_rot-5.png
train,0,0:legacy_136,data/processed/chars/0/legacy_136_base.png
train,0,0:legacy_136,data/processed/chars/0/legacy_136_blur.png
train,0,0:legacy_136,data/processed/chars/0/legacy_136_dilate.png
train,0,0:legacy_136,data/processed/chars/0/legacy_136_erode.png
train,0,0:legacy_136,data/processed/chars/0/legacy_136_rot+5.png
train,0,0:legacy_136,data/processed/chars/0/legacy_136_rot-5.png
train,1,roboflow:01012021050111264805_EMCU981331:06,data/processed/chars/1/01012021050111264805_EMCU981331_jpg.rf.a365d71980c70b9836741a1907a5e3cd__06.png
train,1,roboflow:01012021050111264805_EMCU981331:09,data/processed/chars/1/01012021050111264805_EMCU981331_jpg.rf.a365d71980c70b9836741a1907a5e3cd__09.png
train,1,roboflow:01012021050111264805_EMCU981331:06,data/processed/chars/1/01012021050111264805_EMCU981331_jpg.rf.f78de3c40bdbc2a634bc0edc52082014__06.png
train,1,roboflow:01012021050111264805_EMCU981331:09,data/processed/chars/1/01012021050111264805_EMCU981331_jpg.rf.f78de3c40bdbc2a634bc0edc52082014__09.png
train,1,roboflow:01012021050111423105_EGHU956170:07,data/processed/chars/1/01012021050111423105_EGHU956170_jpg.rf.0dabed44e04627931675b94376603c31__07.png
train,1,roboflow:01012021050111423105_EGHU956170:07,data/processed/chars/1/01012021050111423105_EGHU956170_jpg.rf.4723479dc7f2d88c08bd0a0636ef5425__07.png
train,1,roboflow:01012021050111573003_VFU1407:03,data/processed/chars/1/01012021050111573003_VFU1407_jpg.rf.109233b4143ef6871152ce555c1b15fa__03.png
train,1,roboflow:01012021050111573003_VFU1407:03,data/processed/chars/1/01012021050111573003_VFU1407_jpg.rf.20a9b5e12e121a03bfbc0774135f704c__03.png
train,1,roboflow:01012021050111573003_VFU1407:03,data/processed/chars/1/01012021050111573003_VFU1407_jpg.rf.ac33db6812f3f6c6c1fcf6a6d98c693a__03.png
train,1,roboflow:01022021042510261305_GESU617562:05,data/processed/chars/1/01022021042510261305_GESU617562_jpg.rf.d78bebcb061acdb788831d64f6c0b705__05.png
train,1,roboflow:01022021042512123505_MSKU593041:09,data/processed/chars/1/01022021042512123505_MSKU593041_jpg.rf.a0a160c379093456e7913d71d5f8f397__09.png
train,1,roboflow:01022021042512345103_OOCU721691:06,data/processed/chars/1/01022021042512345103_OOCU721691_jpg.rf.2f8eb31378b114e1cd85323d92dfa1fe__06.png
train,1,roboflow:01022021042512345103_OOCU721691:09,data/processed/chars/1/01022021042512345103_OOCU721691_jpg.rf.2f8eb31378b114e1cd85323d92dfa1fe__09.png
train,1,roboflow:01022021042512345505_OOCU721691:06,data/processed/chars/1/01022021042512345505_OOCU721691_jpg.rf.18c2ddd14d88434b3601c921459dd2d8__06.png
train,1,roboflow:01022021042516502503_MEDU180904:04,data/processed/chars/1/01022021042516502503_MEDU180904_jpg.rf.3e7b2663d5746975ba5f546b2c4bc81b__04.png
train,1,roboflow:01022021042517071805_HLBU141868:04,data/processed/chars/1/01022021042517071805_HLBU141868_jpg.rf.9f0e585cd5a725060269b77958660d83__04.png
train,1,roboflow:01022021042517071805_HLBU141868:06,data/processed/chars/1/01022021042517071805_HLBU141868_jpg.rf.9f0e585cd5a725060269b77958660d83__06.png
train,1,roboflow:01022021042517071805_HLBU141868:04,data/processed/chars/1/01022021042517071805_HLBU141868_jpg.rf.be87ce96d4bc66e167ac23ab35dec623__04.png
train,1,roboflow:01022021042517071805_HLBU141868:06,data/processed/chars/1/01022021042517071805_HLBU141868_jpg.rf.be87ce96d4bc66e167ac23ab35dec623__06.png
train,1,1:legacy_028,data/processed/chars/1/legacy_028_base.png
train,1,1:legacy_028,data/processed/chars/1/legacy_028_blur.png
train,1,1:legacy_028,data/processed/chars/1/legacy_028_dilate.png
train,1,1:legacy_028,data/processed/chars/1/legacy_028_erode.png
train,1,1:legacy_028,data/processed/chars/1/legacy_028_rot+5.png
train,1,1:legacy_028,data/processed/chars/1/legacy_028_rot-5.png
train,1,1:legacy_092,data/processed/chars/1/legacy_092_base.png
train,1,1:legacy_092,data/processed/chars/1/legacy_092_blur.png
train,1,1:legacy_092,data/processed/chars/1/legacy_092_dilate.png
train,1,1:legacy_092,data/processed/chars/1/legacy_092_erode.png
train,1,1:legacy_092,data/processed/chars/1/legacy_092_rot+5.png
train,1,1:legacy_092,data/processed/chars/1/legacy_092_rot-5.png
train,1,1:legacy_124,data/processed/chars/1/legacy_124_base.png
train,1,1:legacy_124,data/processed/chars/1/legacy_124_blur.png
train,1,1:legacy_124,data/processed/chars/1/legacy_124_dilate.png
train,1,1:legacy_124,data/processed/chars/1/legacy_124_erode.png
train,1,1:legacy_124,data/processed/chars/1/legacy_124_rot+5.png
train,1,1:legacy_124,data/processed/chars/1/legacy_124_rot-5.png
train,2,roboflow:01012021050111565605_KDU5288:04,data/processed/chars/2/01012021050111565605_KDU5288_jpg.rf.17ed8a35c62e1565729bdd6da73d0a96__04.png
train,2,roboflow:01012021050111565605_KDU5288:04,data/processed/chars/2/01012021050111565605_KDU5288_jpg.rf.1d1ff0bd6ee61e492cd7370d621895a5__04.png
train,2,roboflow:01012021050111565605_KDU5288:04,data/processed/chars/2/01012021050111565605_KDU5288_jpg.rf.6e0dc927efc776ba9be7bf2870fefc52__04.png
train,2,roboflow:01012021050111565605_KDU5288:04,data/processed/chars/2/01012021050111565605_KDU5288_jpg.rf.96325e863832db32e0510674c5f95732__04.png
train,2,roboflow:01012021050111565605_KDU5288:04,data/processed/chars/2/01012021050111565605_KDU5288_jpg.rf.d806fe5b8e155ac41f426188daabf70f__04.png
train,2,roboflow:01022021042510261305_GESU617562:09,data/processed/chars/2/01022021042510261305_GESU617562_jpg.rf.d78bebcb061acdb788831d64f6c0b705__09.png
train,2,roboflow:01022021042512345103_OOCU721691:05,data/processed/chars/2/01022021042512345103_OOCU721691_jpg.rf.2f8eb31378b114e1cd85323d92dfa1fe__05.png
train,2,roboflow:01022021042512345505_OOCU721691:05,data/processed/chars/2/01022021042512345505_OOCU721691_jpg.rf.18c2ddd14d88434b3601c921459dd2d8__05.png
train,2,2:legacy_007,data/processed/chars/2/legacy_007_base.png
train,2,2:legacy_007,data/processed/chars/2/legacy_007_blur.png
train,2,2:legacy_007,data/processed/chars/2/legacy_007_dilate.png
train,2,2:legacy_007,data/processed/chars/2/legacy_007_erode.png
train,2,2:legacy_007,data/processed/chars/2/legacy_007_rot+5.png
train,2,2:legacy_007,data/processed/chars/2/legacy_007_rot-5.png
train,2,2:legacy_039,data/processed/chars/2/legacy_039_base.png
train,2,2:legacy_039,data/processed/chars/2/legacy_039_blur.png
train,2,2:legacy_039,data/processed/chars/2/legacy_039_dilate.png
train,2,2:legacy_039,data/processed/chars/2/legacy_039_erode.png
train,2,2:legacy_039,data/processed/chars/2/legacy_039_rot+5.png
train,2,2:legacy_039,data/processed/chars/2/legacy_039_rot-5.png
train,2,2:legacy_071,data/processed/chars/2/legacy_071_base.png
train,2,2:legacy_071,data/processed/chars/2/legacy_071_blur.png
train,2,2:legacy_071,data/processed/chars/2/legacy_071_dilate.png
train,2,2:legacy_071,data/processed/chars/2/legacy_071_erode.png
train,2,2:legacy_071,data/processed/chars/2/legacy_071_rot+5.png
train,2,2:legacy_071,data/processed/chars/2/legacy_071_rot-5.png
train,2,2:legacy_103,data/processed/chars/2/legacy_103_base.png
train,2,2:legacy_103,data/processed/chars/2/legacy_103_blur.png
train,2,2:legacy_103,data/processed/chars/2/legacy_103_dilate.png
train,2,2:legacy_103,data/processed/chars/2/legacy_103_erode.png
train,2,2:legacy_103,data/processed/chars/2/legacy_103_rot+5.png
train,2,2:legacy_103,data/processed/chars/2/legacy_103_rot-5.png
train,2,2:legacy_135,data/processed/chars/2/legacy_135_base.png
train,2,2:legacy_135,data/processed/chars/2/legacy_135_blur.png
train,2,2:legacy_135,data/processed/chars/2/legacy_135_dilate.png
train,2,2:legacy_135,data/processed/chars/2/legacy_135_erode.png
train,2,2:legacy_135,data/processed/chars/2/legacy_135_rot+5.png
train,2,2:legacy_135,data/processed/chars/2/legacy_135_rot-5.png
train,3,roboflow:01012021050111264805_EMCU981331:07,data/processed/chars/3/01012021050111264805_EMCU981331_jpg.rf.a365d71980c70b9836741a1907a5e3cd__07.png
train,3,roboflow:01012021050111264805_EMCU981331:08,data/processed/chars/3/01012021050111264805_EMCU981331_jpg.rf.a365d71980c70b9836741a1907a5e3cd__08.png
train,3,roboflow:01012021050111264805_EMCU981331:07,data/processed/chars/3/01012021050111264805_EMCU981331_jpg.rf.f78de3c40bdbc2a634bc0edc52082014__07.png
train,3,roboflow:01012021050111264805_EMCU981331:08,data/processed/chars/3/01012021050111264805_EMCU981331_jpg.rf.f78de3c40bdbc2a634bc0edc52082014__08.png
train,3,roboflow:01022021042511402405_ONEU031853:05,data/processed/chars/3/01022021042511402405_ONEU031853_jpg.rf.ea5a8472a14e5f3fcb3c73872f0bb0ce__05.png
train,3,3:legacy_038,data/processed/chars/3/legacy_038_base.png
train,3,3:legacy_038,data/processed/chars/3/legacy_038_blur.png
train,3,3:legacy_038,data/processed/chars/3/legacy_038_dilate.png
train,3,3:legacy_038,data/processed/chars/3/legacy_038_erode.png
train,3,3:legacy_038,data/processed/chars/3/legacy_038_rot+5.png
train,3,3:legacy_038,data/processed/chars/3/legacy_038_rot-5.png
train,3,3:legacy_070,data/processed/chars/3/legacy_070_base.png
train,3,3:legacy_070,data/processed/chars/3/legacy_070_blur.png
train,3,3:legacy_070,data/processed/chars/3/legacy_070_dilate.png
train,3,3:legacy_070,data/processed/chars/3/legacy_070_erode.png
train,3,3:legacy_070,data/processed/chars/3/legacy_070_rot+5.png
train,3,3:legacy_070,data/processed/chars/3/legacy_070_rot-5.png
train,3,3:legacy_102,data/processed/chars/3/legacy_102_base.png
train,3,3:legacy_102,data/processed/chars/3/legacy_102_blur.png
train,3,3:legacy_102,data/processed/chars/3/legacy_102_dilate.png
train,3,3:legacy_102,data/processed/chars/3/legacy_102_erode.png
train,3,3:legacy_102,data/processed/chars/3/legacy_102_rot+5.png
train,3,3:legacy_102,data/processed/chars/3/legacy_102_rot-5.png
train,4,roboflow:01012021050111454903_BMH774:05,data/processed/chars/4/01012021050111454903_BMH774_jpg.rf.dea4964e8201cdfbee5db9d025adcde9__05.png
train,4,roboflow:01022021042512123505_MSKU593041:08,data/processed/chars/4/01022021042512123505_MSKU593041_jpg.rf.a0a160c379093456e7913d71d5f8f397__08.png
train,4,roboflow:01022021042516210903_MRKU440596:04,data/processed/chars/4/01022021042516210903_MRKU440596_jpg.rf.20a3569277305e38e55d5163446aa12b__04.png
train,4,roboflow:01022021042516210903_MRKU440596:05,data/processed/chars/4/01022021042516210903_MRKU440596_jpg.rf.20a3569277305e38e55d5163446aa12b__05.png
train,4,roboflow:01022021042516210903_MRKU440596:04,data/processed/chars/4/01022021042516210903_MRKU440596_jpg.rf.62a2cdfb86c8f48530d48740c4ca4b25__04.png
train,4,roboflow:01022021042516210903_MRKU440596:05,data/processed/chars/4/01022021042516210903_MRKU440596_jpg.rf.62a2cdfb86c8f48530d48740c4ca4b25__05.png
